,brand,model,processor_name,ram_gb,ssd,hdd,latest_price
598,DELL,Inspiron,Core i7,16 GB GB,1024 GB,0 GB,93955
599,ASUS,ROG,Core i7,16 GB GB,1024 GB,0 GB,234990
600,HP,Spectre,Core i7,16 GB GB,1024 GB,0 GB,128500
601,Lenovo,Yoga,Core i7,16 GB GB,1024 GB,0 GB,102990
602,ASUS,ZenBook,Core i7,16 GB GB,1024 GB,0 GB,119990
603,ASUS,Missing,Core i7,16 GB GB,1024 GB,0 GB,120980
604,ASUS,Zephyrus,Core i7,16 GB GB,1024 GB,0 GB,157249
605,Lenovo,Missing,Core i7,16 GB GB,1024 GB,0 GB,229900
606,ASUS,ASUS,Core i7,16 GB GB,1024 GB,0 GB,131500
607,ASUS,ExpertBook,Core i7,16 GB GB,1024 GB,0 GB,154990
608,ASUS,ExpertBook,Core i7,16 GB GB,1024 GB,0 GB,165990
609,Lenovo,Yoga,Core i7,16 GB GB,1024 GB,0 GB,119990
610,ASUS,ExpertBook,Core i7,16 GB GB,1024 GB,0 GB,167990
611,HP,Spectre,Core i7,16 GB GB,1024 GB,0 GB,165000
612,Avita,Liber,Core i7,16 GB GB,1024 GB,0 GB,62990
613,Lenovo,ThinkBook,Core i7,16 GB GB,1024 GB,0 GB,85990
614,HP,HP,Core i7,16 GB GB,1024 GB,0 GB,94990
615,HP,Omen,Core i7,16 GB GB,1024 GB,0 GB,136990
616,Lenovo,Legion,Core i7,16 GB GB,1024 GB,0 GB,234990
617,acer,Predator,Core i7,16 GB GB,2048 GB,0 GB,159990
618,ASUS,ExpertBook,Core i7,16 GB GB,2048 GB,0 GB,233990
619,ASUS,ExpertBook,Core i7,16 GB GB,0 GB,1024 GB,93990
620,HP,15,Core i7,16 GB GB,128 GB,1024 GB,116941
621,MSI,GF63,Core i7,8 GB GB,256 GB,1024 GB,63990
622,ASUS,VivoBook,Core i7,16 GB GB,256 GB,1024 GB,66990
623,ASUS,Missing,Core i7,16 GB GB,256 GB,1024 GB,82500
624,acer,Predator,Core i7,16 GB GB,256 GB,1024 GB,119990
625,MSI,WF65,Core i7,16 GB GB,256 GB,1024 GB,159990
626,ASUS,Pro,Core i7,16 GB GB,256 GB,1024 GB,98912
627,acer,Predator,Core i7,16 GB GB,512 GB,1024 GB,92990
628,acer,Predator,Core i7,16 GB GB,512 GB,1024 GB,119990
629,acer,Predator,Core i9,32 GB GB,1024 GB,0 GB,169990
630,acer,Predator,Core i9,16 GB GB,1024 GB,0 GB,139990
631,MSI,Creator,Core i9,16 GB GB,1024 GB,0 GB,192990
632,ASUS,ROG,Core i9,16 GB GB,1024 GB,0 GB,299990
633,ASUS,Missing,Core i9,16 GB GB,1024 GB,0 GB,269990
634,ASUS,ASUS,Core i9,16 GB GB,1024 GB,0 GB,139990
635,Lenovo,Missing,Core i9,16 GB GB,1024 GB,0 GB,265998
636,ASUS,Zephyrus,Core i9,16 GB GB,3072 GB,0 GB,441990
637,Smartron,t.book,Core m3,4 GB GB,128 GB,0 GB,42990
638,MSI,Katana,Core i5,8 GB GB,0 GB,512 GB,86990
639,acer,Aspire,Dual Core,4 GB GB,256 GB,0 GB,29990
640,acer,Dual,Dual Core,4 GB GB,256 GB,0 GB,31990
641,MSI,Pulse,Core i5,8 GB GB,0 GB,512 GB,109990
642,MSI,Pulse,Core i5,8 GB GB,0 GB,512 GB,109590
643,ASUS,ROG,Core i7,16 GB GB,0 GB,512 GB,146490
644,HP,Chromebook,Dual Core,4 GB GB,0 GB,512 GB,61745
645,ASUS,ZenBook,Ever Screenpad,4 GB GB,0 GB,512 GB,209690
646,ASUS,ZenBook,Ever Screenpad,4 GB GB,0 GB,512 GB,175190
647,ALIENWARE,Missing,GeForce GTX,8 GB GB,0 GB,512 GB,199990
648,DELL,G15,GeForce GTX,8 GB GB,0 GB,512 GB,75500
649,ALIENWARE,Missing,GeForce RTX,8 GB GB,0 GB,512 GB,345390
650,ALIENWARE,Missing,GeForce RTX,8 GB GB,0 GB,512 GB,214790
651,ALIENWARE,Missing,GeForce RTX,8 GB GB,0 GB,512 GB,269290
652,DELL,G15,GEFORCE RTX,4 GB GB,0 GB,512 GB,95990
653,MSI,GF65,Hexa Core,16 GB GB,512 GB,0 GB,76990
654,MSI,GF63,Hexa Core,8 GB GB,256 GB,1024 GB,55990
655,APPLE,MacBook,M1,8 GB GB,256 GB,0 GB,85990
656,APPLE,MacBook,M1,8 GB GB,256 GB,0 GB,112990
657,APPLE,MacBook,M1,16 GB GB,256 GB,0 GB,104990
659,APPLE,MacBook,M1,16 GB GB,256 GB,0 GB,132990
662,APPLE,MacBook,M1,16 GB GB,512 GB,0 GB,149990
663,APPLE,MacBook,M1,8 GB GB,512 GB,0 GB,125990
664,APPLE,MacBook,M1,8 GB GB,512 GB,0 GB,103990
665,APPLE,MacBook,M1,8 GB GB,512 GB,0 GB,101990
666,APPLE,MacBook,M1,8 GB GB,512 GB,0 GB,104990
667,APPLE,MacBook,M1,8 GB GB,512 GB,0 GB,131990
668,APPLE,MacBook,M1,16 GB GB,512 GB,0 GB,128990
669,APPLE,MacBook,M1,16 GB GB,512 GB,0 GB,184990
670,APPLE,MacBook,M1,16 GB GB,512 GB,0 GB,225990
671,APPLE,MacBook,M1,4 GB GB,512 GB,0 GB,124990
673,APPLE,MacBook,M1,8 GB GB,1024 GB,0 GB,149990
674,APPLE,MacBook,M1,16 GB GB,1024 GB,0 GB,169990
675,APPLE,MacBook,M1,16 GB GB,1024 GB,0 GB,225990
676,APPLE,MacBook,M1,16 GB GB,1024 GB,0 GB,243990
677,APPLE,MacBook,M1,32 GB GB,1024 GB,0 GB,309990
679,DELL,G7,GeForce RTX,8 GB GB,0 GB,512 GB,179990
680,acer,Missing,Genuine Windows,4 GB GB,128 GB,0 GB,116640
681,acer,Predator,Genuine Windows,4 GB GB,0 GB,512 GB,129999
682,ASUS,ASUS,Pentium Quad,4 GB GB,0 GB,512 GB,45990
683,iball,CompBook,Pentium Quad,4 GB GB,0 GB,512 GB,13990
684,ASUS,Pentium,Pentium Quad,4 GB GB,128 GB,0 GB,58100
685,ASUS,ASUS,Pentium Quad,8 GB GB,256 GB,0 GB,62990
686,HP,Pentium,Pentium Quad,8 GB GB,256 GB,0 GB,32990
687,ASUS,VivoBook,Pentium Quad,4 GB GB,256 GB,0 GB,33990
688,acer,Extensa,Pentium Quad,4 GB GB,256 GB,0 GB,30990
689,DELL,Inspiron,Pentium Quad,4 GB GB,256 GB,0 GB,36000
690,ASUS,VivoBook,Pentium Quad,4 GB GB,256 GB,0 GB,32990
691,DELL,Inspiron,Pentium Quad,4 GB GB,256 GB,0 GB,35990
692,ASUS,Pentium,Pentium Quad,4 GB GB,0 GB,1024 GB,27990
693,ASUS,Pentium,Pentium Quad,4 GB GB,0 GB,1024 GB,25990
695,ASUS,Asus,Pentium Quad,4 GB GB,0 GB,1024 GB,30780
696,ASUS,VivoBook,Pentium Silver,4 GB GB,256 GB,0 GB,29990
697,ASUS,EeeBook,Pentium Silver,4 GB GB,256 GB,0 GB,31990
698,Lenovo,Legion,Genuine Windows,4 GB GB,0 GB,512 GB,77890
699,HP,Ryzen,Ryzen 3,8 GB GB,256 GB,0 GB,37990
700,ASUS,Ryzen,Ryzen 3,8 GB GB,256 GB,0 GB,35990
701,DELL,Inspiron,Ryzen 3,8 GB GB,256 GB,0 GB,39490
702,DELL,Inspiron,Ryzen 3,8 GB GB,256 GB,0 GB,36990
703,DELL,Ryzen,Ryzen 3,8 GB GB,256 GB,0 GB,39990
704,ASUS,Ryzen,Ryzen 3,4 GB GB,256 GB,0 GB,33690
705,DELL,Inspiron,Ryzen 3,8 GB GB,256 GB,0 GB,40590
706,ASUS,VivoBook,Ryzen 3,4 GB GB,256 GB,0 GB,37990
707,ASUS,VivoBook,Ryzen 3,4 GB GB,256 GB,0 GB,34500
708,acer,Aspire,Ryzen 3,8 GB GB,512 GB,0 GB,36990
709,HP,Ryzen,Ryzen 3,8 GB GB,512 GB,0 GB,43490
710,HP,Ryzen,Ryzen 3,8 GB GB,512 GB,0 GB,41490
711,acer,Aspire,Ryzen 3,4 GB GB,512 GB,0 GB,34990
712,HP,15s,Ryzen 3,4 GB GB,512 GB,0 GB,44490
713,DELL,Vostro,Ryzen 3,4 GB GB,512 GB,0 GB,40590
714,DELL,Inspiron,Ryzen 3,8 GB GB,512 GB,0 GB,42090
715,DELL,Vostro,Ryzen 3,8 GB GB,0 GB,1024 GB,35990
716,HP,15s,Ryzen 3,8 GB GB,0 GB,1024 GB,39490
717,DELL,Inspiron,Ryzen 3,8 GB GB,0 GB,1024 GB,37390
718,DELL,Inspiron,Ryzen 3,4 GB GB,0 GB,1024 GB,52632
719,DELL,Inspiron,Ryzen 3,4 GB GB,0 GB,1024 GB,39990
720,DELL,DELL,Ryzen 3,4 GB GB,0 GB,1024 GB,43990
721,HP,15q,Ryzen 3,4 GB GB,0 GB,1024 GB,32917
722,Lenovo,Ryzen,Ryzen 3,4 GB GB,0 GB,1024 GB,34990
723,DELL,Inspiron,Ryzen 3,8 GB GB,0 GB,1024 GB,39990
724,HP,15s,Ryzen 3,8 GB GB,256 GB,1024 GB,41999
725,HP,Chromebook,MediaTek Kompanio,4 GB GB,0 GB,512 GB,22990
726,HP,Chromebook,MediaTek Kompanio,4 GB GB,0 GB,512 GB,22490
728,MICROSOFT,Surface,Ryzen 5,4 GB GB,128 GB,0 GB,99990
729,DELL,Vostro,Ryzen 5,8 GB GB,256 GB,0 GB,41990
730,DELL,Inspiron,Ryzen 5,8 GB GB,256 GB,0 GB,44490
731,DELL,Inspiron,Ryzen 5,8 GB GB,256 GB,0 GB,41990
732,DELL,Vostro,Ryzen 5,8 GB GB,256 GB,0 GB,44490
733,MSI,Modern,Ryzen 5,4 GB GB,256 GB,0 GB,49990
734,DELL,Inspiron,Ryzen 5,4 GB GB,256 GB,0 GB,44390
735,HP,Pavilion,Ryzen 5,8 GB GB,512 GB,0 GB,57990
736,Lenovo,IdeaPad,Ryzen 5,8 GB GB,512 GB,0 GB,56990
737,Lenovo,IdeaPad,Ryzen 5,8 GB GB,512 GB,0 GB,48990
738,HP,Ryzen,Ryzen 5,8 GB GB,512 GB,0 GB,49970
739,MSI,Modern,Ryzen 5,8 GB GB,512 GB,0 GB,47990
740,HP,Ryzen,Ryzen 5,8 GB GB,512 GB,0 GB,48990
741,acer,Swift,Ryzen 5,8 GB GB,512 GB,0 GB,53990
742,Lenovo,IdeaPad,Ryzen 5,8 GB GB,512 GB,0 GB,52990
743,acer,Aspire,Ryzen 5,8 GB GB,512 GB,0 GB,43990
744,Lenovo,Ideapad,Ryzen 5,8 GB GB,512 GB,0 GB,59490
745,MSI,Bravo,Ryzen 5,8 GB GB,512 GB,0 GB,64990
746,DELL,Vostro,Ryzen 5,8 GB GB,512 GB,0 GB,47490
747,HP,HP,Ryzen 5,8 GB GB,512 GB,0 GB,59990
748,Lenovo,Legion,Ryzen 5,8 GB GB,512 GB,0 GB,69990
749,HP,15-ec1105AX,Ryzen 5,8 GB GB,512 GB,0 GB,58990
750,DELL,Vostro,Ryzen 5,8 GB GB,512 GB,0 GB,59490
751,HP,Pavilion,Ryzen 5,16 GB GB,512 GB,0 GB,67500
753,ASUS,VivoBook,Ryzen 5,8 GB GB,512 GB,0 GB,62450
754,ASUS,VivoBook,Ryzen 5,8 GB GB,512 GB,0 GB,58990
755,ASUS,APU,Quad,4 GB GB,0 GB,512 GB,19990
756,HP,Pavilion,Ryzen 5,8 GB GB,512 GB,0 GB,57999
757,ASUS,VivoBook,Ryzen 5,16 GB GB,512 GB,0 GB,56990
758,HP,Pavilion,Ryzen 5,8 GB GB,512 GB,0 GB,72990
759,HP,Pavilion,Ryzen 5,16 GB GB,512 GB,0 GB,65990
760,HP,Envy,Ryzen 5,16 GB GB,512 GB,0 GB,98020
761,HP,Pavilion,Ryzen 5,16 GB GB,512 GB,0 GB,63990
762,ASUS,Ryzen,Ryzen 5,8 GB GB,512 GB,0 GB,49890
763,DELL,Inspiron,Ryzen 5,8 GB GB,512 GB,0 GB,49990
765,HP,Envy,Ryzen 5,8 GB GB,512 GB,0 GB,73999
766,DELL,Inspiron,Ryzen 5,4 GB GB,512 GB,0 GB,60990
767,DELL,G5,Ryzen 5,4 GB GB,512 GB,0 GB,76190
768,Lenovo,Yoga,Ryzen 5,4 GB GB,512 GB,0 GB,74798
769,ASUS,VivoBook,Ryzen 5,4 GB GB,512 GB,0 GB,58990
770,HP,Ryzen,Ryzen 5,4 GB GB,512 GB,0 GB,68100
771,Lenovo,Yoga,Ryzen 5,4 GB GB,512 GB,0 GB,77990
772,HP,Pavilion,Ryzen 5,4 GB GB,512 GB,0 GB,55090
773,ASUS,Zenbook,Ryzen 5,4 GB GB,512 GB,0 GB,91990
774,HP,Pavilion,Ryzen 5,4 GB GB,512 GB,0 GB,84208
775,acer,Aspire,Ryzen 5,4 GB GB,512 GB,0 GB,44990
776,HP,15s,Ryzen 5,4 GB GB,512 GB,0 GB,53490
777,Lenovo,Legion,Ryzen 5,4 GB GB,512 GB,0 GB,76498
778,DELL,Ryzen,Ryzen 5,4 GB GB,512 GB,0 GB,98920
779,MSI,Modern,Ryzen 5,4 GB GB,512 GB,0 GB,54990
780,acer,Aspire,Ryzen 5,4 GB GB,512 GB,0 GB,49990
781,HP,Ryzen,Ryzen 5,4 GB GB,512 GB,0 GB,52380
783,HP,14s,Ryzen 5,4 GB GB,512 GB,0 GB,52500
784,Vaio,E,Ryzen 5,4 GB GB,512 GB,0 GB,49590
785,ASUS,Ryzen,Ryzen 5,4 GB GB,512 GB,0 GB,49990
786,acer,Aspire,Ryzen 5,4 GB GB,512 GB,0 GB,75999
787,ASUS,AMD,Ryzen 5,4 GB GB,512 GB,0 GB,80990
788,Lenovo,IDEAPAD,Ryzen 5,4 GB GB,512 GB,0 GB,59900
789,HP,15s,Ryzen 5,4 GB GB,512 GB,0 GB,54590
790,DELL,Inspiron,Ryzen 5,4 GB GB,512 GB,0 GB,75500
791,HP,Ryzen,Ryzen 5,8 GB GB,512 GB,0 GB,51890
792,ASUS,VivoBook,Ryzen 5,16 GB GB,512 GB,0 GB,78000
793,Vaio,E,Ryzen 5,8 GB GB,512 GB,0 GB,50990
794,HP,Pavilion,Ryzen 5,16 GB GB,512 GB,0 GB,59999
795,HP,Pavilion,Ryzen 5,8 GB GB,512 GB,0 GB,64990
796,DELL,Ryzen,Ryzen 5,4 GB GB,1024 GB,0 GB,57900
797,Lenovo,Yoga,Ryzen 5,4 GB GB,1024 GB,0 GB,81978
798,HP,Pavilion,Ryzen 5,4 GB GB,0 GB,1024 GB,59990
799,DELL,Inspiron,Ryzen 5,8 GB GB,256 GB,1024 GB,49490
800,ASUS,VivoBook,Ryzen 5,8 GB GB,256 GB,1024 GB,54990
801,Lenovo,Legion,Ryzen 5,8 GB GB,256 GB,1024 GB,68500
804,Lenovo,Ideapad,Ryzen 5,8 GB GB,256 GB,1024 GB,63990
805,HP,Pavilion,Ryzen 5,4 GB GB,256 GB,1024 GB,80000
806,DELL,Ryzen,Ryzen 5,4 GB GB,256 GB,1024 GB,51990
807,ASUS,VivoBook,Ryzen 5,4 GB GB,256 GB,1024 GB,62990
808,HP,Ryzen,Ryzen 5,4 GB GB,256 GB,1024 GB,52990
809,ASUS,Ryzen,Ryzen 5,4 GB GB,256 GB,1024 GB,75100
810,ASUS,ASUS,Ryzen 7,16 GB GB,512 GB,0 GB,76990
811,ASUS,Ryzen,Ryzen 7,16 GB GB,512 GB,0 GB,79990
812,ASUS,ROG,Ryzen 7,8 GB GB,512 GB,0 GB,71990
814,Lenovo,Lenovo,Ryzen 7,16 GB GB,512 GB,0 GB,99990
816,DELL,Ryzen,Ryzen 7,16 GB GB,512 GB,0 GB,93990
817,ASUS,ASUS,Ryzen 7,16 GB GB,512 GB,0 GB,82990
818,ASUS,ROG,Ryzen 7,4 GB GB,512 GB,0 GB,106990
819,ASUS,VivoBook,Ryzen 7,4 GB GB,512 GB,0 GB,92990
820,Lenovo,IdeaPad,Ryzen 7,4 GB GB,512 GB,0 GB,81490
821,ASUS,VivoBook,Ryzen 7,4 GB GB,512 GB,0 GB,56990
822,MSI,Modern,Ryzen 7,4 GB GB,512 GB,0 GB,64990
823,Lenovo,Ideapad,Ryzen 7,4 GB GB,512 GB,0 GB,60990
824,Lenovo,Ryzen,Ryzen 7,4 GB GB,512 GB,0 GB,84988
825,HP,Pavilion,Ryzen 7,4 GB GB,512 GB,0 GB,90990
826,Vaio,E,Ryzen 7,4 GB GB,512 GB,0 GB,56990
827,ASUS,VivoBook,Ryzen 7,4 GB GB,512 GB,0 GB,63990
828,Lenovo,Ideapad,Ryzen 7,4 GB GB,512 GB,0 GB,63990
829,HP,Ryzen,Ryzen 7,4 GB GB,512 GB,0 GB,57999
830,ASUS,Ryzen,Ryzen 7,4 GB GB,512 GB,0 GB,72400
831,Lenovo,Yoga,Ryzen 7,4 GB GB,512 GB,0 GB,78990
832,acer,Aspire,Ryzen 7,4 GB GB,512 GB,0 GB,59990
833,ASUS,ROG,Ryzen 7,4 GB GB,512 GB,0 GB,111990
834,HP,Ryzen,Ryzen 7,4 GB GB,512 GB,0 GB,109000
835,DELL,G5,Ryzen 7,4 GB GB,512 GB,0 GB,89990
836,Lenovo,Yoga,Ryzen 7,4 GB GB,512 GB,0 GB,78988
837,Lenovo,Ryzen,Ryzen 7,4 GB GB,512 GB,0 GB,73138
838,Lenovo,Ryzen,Ryzen 7,4 GB GB,512 GB,0 GB,106990
839,ASUS,Ryzen,Ryzen 7,4 GB GB,512 GB,0 GB,79990
840,DELL,Inspiron,Ryzen 7,4 GB GB,512 GB,0 GB,89570
841,HP,15s,Ryzen 7,4 GB GB,512 GB,0 GB,68500
842,Lenovo,Ideapad,Ryzen 7,16 GB GB,512 GB,0 GB,73400
843,Vaio,E,Ryzen 7,8 GB GB,512 GB,0 GB,57990
844,HP,Pavilion,Ryzen 7,16 GB GB,512 GB,0 GB,79990
845,HP,Pavilion,Ryzen 7,16 GB GB,512 GB,0 GB,84990
846,MSI,Alpha,Ryzen 7,16 GB GB,1024 GB,0 GB,99990
847,ASUS,ROG,Ryzen 7,8 GB GB,1024 GB,0 GB,72990
848,HP,HP,Ryzen 7,16 GB GB,1024 GB,0 GB,92990
849,HP,Pavilion,Ryzen 7,16 GB GB,1024 GB,0 GB,84190
850,ASUS,Zenbook,Ryzen 7,16 GB GB,1024 GB,0 GB,112990
851,ASUS,ROG,Ryzen 7,4 GB GB,1024 GB,0 GB,114990
852,acer,Swift,Ryzen 7,4 GB GB,1024 GB,0 GB,99990
853,ASUS,TUF,Ryzen 7,4 GB GB,1024 GB,0 GB,95990
854,HP,OMEN,Ryzen 7,4 GB GB,1024 GB,0 GB,159990
855,ASUS,ROG,Ryzen 7,4 GB GB,1024 GB,0 GB,76990
856,Lenovo,Legion,Ryzen 7,4 GB GB,1024 GB,0 GB,130990
857,ASUS,VivoBook,Ryzen 7,4 GB GB,1024 GB,0 GB,99990
858,ASUS,ROG,Ryzen 7,4 GB GB,1024 GB,0 GB,112990
859,Lenovo,Ideapad,Ryzen 7,4 GB GB,1024 GB,0 GB,77988
860,ASUS,ROG,Ryzen 7,4 GB GB,1024 GB,0 GB,76000
861,ASUS,ROG,Ryzen 7,4 GB GB,1024 GB,0 GB,99990
862,ASUS,Zephyrus,Ryzen 7,4 GB GB,1024 GB,0 GB,111000
863,ASUS,Ryzen,Ryzen 7,16 GB GB,1024 GB,0 GB,84970
864,HP,Pavilion,Ryzen 7,16 GB GB,256 GB,1024 GB,75990
865,acer,Nitro,Ryzen 7,16 GB GB,256 GB,1024 GB,89990
866,acer,Nitro,Ryzen 7,16 GB GB,256 GB,1024 GB,81990
867,Lenovo,Ryzen,Ryzen 7,4 GB GB,512 GB,1024 GB,80490
868,ASUS,ROG,Ryzen 9,16 GB GB,1024 GB,0 GB,135990
869,ASUS,ROG,Ryzen 9,16 GB GB,1024 GB,0 GB,154990
870,ASUS,ROG,Ryzen 9,16 GB GB,1024 GB,0 GB,199990
871,ASUS,ROG,Ryzen 9,16 GB GB,1024 GB,0 GB,114990
872,ASUS,ROG,Ryzen 9,16 GB GB,1024 GB,0 GB,129990
874,MSI,Delta,Ryzen 9,4 GB GB,1024 GB,0 GB,146990
875,ASUS,VivoBook,Ryzen 9,4 GB GB,1024 GB,0 GB,104990
876,ASUS,ROG,Ryzen 9,4 GB GB,1024 GB,0 GB,114990
877,ASUS,ROG,Ryzen 9,4 GB GB,1024 GB,0 GB,124990
878,ASUS,Zenbook,Ryzen 9,4 GB GB,1024 GB,0 GB,134990
879,HP,OMEN,Ryzen 9,4 GB GB,1024 GB,0 GB,141990
880,ASUS,Rog,Ryzen 9,4 GB GB,1024 GB,0 GB,129990
881,ASUS,ROG,Ryzen 9,4 GB GB,1024 GB,0 GB,142990
882,ASUS,Zephyrus,Ryzen 9,4 GB GB,1024 GB,0 GB,121990
884,ASUS,ROG,Ryzen 9,4 GB GB,1024 GB,0 GB,141990
885,ASUS,VivoBook,Ryzen 9,4 GB GB,1024 GB,0 GB,162990
886,ASUS,VivoBook,Ryzen 9,4 GB GB,1024 GB,0 GB,130500
887,ASUS,VivoBook,Ryzen 9,4 GB GB,1024 GB,0 GB,116990
888,ASUS,Ryzen,Ryzen 9,4 GB GB,1024 GB,0 GB,138990
889,ASUS,ROG,Ryzen 9,4 GB GB,1024 GB,0 GB,234990
890,ASUS,ROG,Ryzen 9,4 GB GB,1024 GB,0 GB,135990
891,ASUS,ROG,Ryzen 9,4 GB GB,1024 GB,0 GB,144990
892,ASUS,Ryzen,Ryzen 9,4 GB GB,1024 GB,0 GB,149990
893,ASUS,Ryzen,Ryzen 9,4 GB GB,1024 GB,0 GB,142990
894,SAMSUNG,Galaxy,Snapdragon 7c,4 GB GB,0 GB,512 GB,38990
895,Lenovo,Thinkpad,Ryzen 5,8 GB GB,512 GB,0 GB,57490
